segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,distance_to_transit_node_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.628999999999998,77.21695,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,279.0560833634154,2494.6985366392487,2494.6985366392487,348.9709442659115,348.9709442659115,490.38765508923603,1601.6145189263182,88.0,True,False,True,True,True,True,True
1002,Janpath to Tuglak Road,New Delhi,midpoint/locality administrative mapping,high,28.6147,77.2131,2400,192,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,81,73,1938,1900.834506102778,3653.1510909587046,3653.1510909587046,1982.2346906306461,1982.2346906306461,2107.3416198134473,3170.8734503890955,88.0,False,False,False,True,True,True,True
1003,Tuglak Road to Chanakyapuri,New Delhi,midpoint/locality administrative mapping,high,28.6008,77.19805,3100,248,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,91,54,4406,3868.765318167866,3613.4553993933564,3613.4553993933564,2836.8428198271818,2836.8428198271818,3995.7715952250846,4971.2115150031395,88.0,False,False,False,True,True,True,True
1004,Chanakyapuri to Vasant Vihar,South West,midpoint/locality administrative mapping,medium,28.5779,77.17339999999999,4800,384,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,94,66,4465,4103.92768353042,3505.476213863491,3505.476213863491,4342.275369329098,3505.476213863491,3614.5801849764575,6826.637083930934,79.0,False,False,False,True,True,True,True
1005,Vasant Vihar to Vasant Kunj,South West,midpoint/locality administrative mapping,high,28.54875,77.15895,2200,176,secondary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,55,35,452,2261.020448768995,5317.169227224117,5317.169227224117,4205.743085732605,4205.743085732605,4675.6981873662535,4302.123951254367,79.0,False,False,False,True,True,True,True
1006,Vasant Kunj to Saket,South West,midpoint/locality administrative mapping,medium,28.530700000000003,77.18095,5400,432,secondary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,48,49,145,2601.9398641860553,4952.117371054214,2622.671432150763,2815.782625806412,2622.671432150763,2848.2680086260516,1532.0891402036114,79.0,False,False,False,True,True,True,True
1007,Saket to Malviya Nagar,South,midpoint/locality administrative mapping,high,28.525199999999998,77.2085,800,64,residential,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,62,46,883,205.8386775419131,4672.484642298022,148.22296330092212,2613.548828473408,148.22296330092212,2011.994447242157,2494.8060891571913,79.0,True,False,False,True,True,True,True
1008,Malviya Nagar to Hauz Khas,South,midpoint/locality administrative mapping,high,28.5388,77.2053,2600,208,secondary,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,51,18,408,1283.4517857605208,3191.126609883705,1543.450684946746,1072.5765908424787,1072.5765908424787,500.9177807460698,3131.2878213523695,79.0,False,False,False,True,True,True,True
1009,Hauz Khas to AIIMS Ring Road,South,midpoint/locality administrative mapping,high,28.5583,77.20505,2100,168,primary,True,2731929,10928,7007,256.4854,186.8887,320.1877,233.2536,-6.5429,10.8279,79,67,4023,1101.4161060262352,1101.3981655521382,1101.3981655521382,1183.4152770696605,1101.3981655521382,886.7318695120472,4977.453609764864,79.0,False,True,False,True,True,True,True
1010,AIIMS to Lajpat Nagar (Ring Road),South East,midpoint/locality administrative mapping,medium,28.5678,77.22614999999999,3200,256,trunk,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,98,72,2491,1676.1532292340978,1578.5779771535517,1479.6715641936496,505.6336243066341,505.6336243066341,1223.319197246029,6100.512589540734,84.0,False,True,True,True,True,True,True
1011,Lajpat Nagar to Kalkaji,South East,midpoint/locality administrative mapping,high,28.55865,77.25055,2700,216,primary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,93,60,2683,1185.4083063142864,4072.7011698720667,3999.982546028207,3096.116731228352,3096.116731228352,1740.3872151414837,3789.415956390899,84.0,False,False,False,True,True,True,True
1012,Kalkaji to Okhla Industrial Area,South East,midpoint/locality administrative mapping,high,28.53935,77.26499999999999,2500,200,secondary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,61,26,944,3752.6147697238152,6200.5790226627905,5886.42498863817,5432.770048361815,5432.770048361815,4294.280887859863,1222.4920138909833,84.0,False,False,False,True,True,True,True
1013,AIIMS to RML Hospital (Sri Aurobindo Marg),South West,midpoint/locality administrative mapping,medium,28.59565,77.20625,6400,512,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,72,80,2220,4114.783155131272,2912.7638346014705,2912.7638346014705,2097.5011052175064,2097.5011052175064,3311.5095395138187,5343.95967335928,88.0,False,False,False,True,True,True,True
1014,RML to Connaught Place,New Delhi,midpoint/locality administrative mapping,high,28.6284,77.211,1900,152,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,87,72,2494,654.4534137501645,3066.6008824704436,3066.6008824704436,791.8307300778782,791.8307300778782,963.1160189338121,1675.0553949470518,88.0,True,False,True,True,True,True,True
1015,Connaught Place to Karol Bagh,Central,midpoint/locality administrative mapping,medium,28.6421,77.20485,3300,264,primary,True,582320,23293,2052,352.3836,259.0023,439.8612,323.3808,-2.0571,35.8356,95,51,2192,1651.2705581574799,3580.519337416151,3580.519337416151,1580.0063837872406,1580.0063837872406,1630.3072073071842,920.6057991988579,88.0,False,False,False,True,True,True,True
